Unique ID	Title	Description	Category	Product URL	Image URL	Condition	Availability	Current Price	Item Group ID	Brand	GTIN	MPN	Gender	Age Group	Size	Color	Material	Pattern	Additional Image URL	Original Price	ASIN	Ship Cost	Ship Weight	Bid	Promo Text
pcc	Prada Candy L'Eau Perfume for Women 2.7 oz EDT Spray	Prada Candy L'Eau Perfume for Women 2.7 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/prada-candy-leau-perfume-for-women-2-7-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1099/1750/Prada_Candy_LEau__68722.1595006911.jpg?c=1	New	In Stock	49.99		Prada															
69r5528	Prada Eau de Parfum Classic Natural Spray 2.7 oz	Prada Eau de Parfum Classic Natural Spray 2.7 oz - brand new in box	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/prada-eau-de-parfum-classic-natural-spray-2-7-oz/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1089/1735/Prada_Eau_de_Parfum__74600.1595006294.jpg?c=1	New	No	54.99		Prada															
59r6086	Ralph Lauren Safari For Men 4.2 oz EDT Spray	Ralph Lauren Safari For Men 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/ralph-lauren-safari-for-men-4-2-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1136/1812/Ralph_Lauren_Safari_For_Men__11490.1595025316.jpg?c=1	New	In Stock	49.99		Ralph Lauren															
277r5800bt	ROMANCE For WOMEN By RALPH LAUREN 3.4 oz EDP Spray	ROMANCE For WOMEN By RALPH LAUREN 3.4 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/romance-for-women-by-ralph-lauren-3-4-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1122/1786/ROMANCE_For_WOMEN__07446.1595023858.jpg?c=1	New	In Stock	45.99		Ralph Lauren															
85r5796b	POLO Red For Men By RALPH LAUREN 4.2 oz Edt Spray	POLO Red For Men By RALPH LAUREN 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/polo-red-for-men-by-ralph-lauren-4-2-oz-edt-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1141/1824/POLO_Red_For_Men_By_RALPH_LAUREN__38884.1595025640.jpg?c=1	New	In Stock	49.99		Ralph Lauren															
283r54	POLO BLACK For MEN By RALPH LAUREN 4.2 oz Spray	POLO BLACK For MEN By RALPH LAUREN 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/polo-black-for-men-by-ralph-lauren-4-2-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1112/1771/POLO_BLACK__63929.1595023332.jpg?c=1	New	In Stock	44.99		Ralph Lauren															
43r6269	Ralph Lauren Safari Perfume for Women 2.5 oz EDP Spray	Ralph Lauren Safari Perfume for Women 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/ralph-lauren-safari-perfume-for-women-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1138/1817/Ralph_Lauren_Safari_Perfume__24017.1595025446.jpg?c=1	New	No	59.99		Ralph Lauren															
RLL42	Ralph Lauren Romance Always Yours Perfume for Women 2.5 oz EDP Spray	Ralph Lauren Romance Always Yours Perfume for Women 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/ralph-lauren-romance-always-yours-perfume-for-women-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1124/1789/Ralph_Lauren_Romance_Always_Yours__99184.1595023957.jpg?c=1	New	No	59.99		Ralph Lauren															
28r5808	POLO SPORT For MEN By RALPH LAUREN 4.2 oz Spray	POLO SPORT For MEN By RALPH LAUREN 4.2 oz Eau de toilette Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/polo-sport-for-men-by-ralph-lauren-4-2-oz-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1116/1777/POLO_SPORT_For_MEN__61528.1595023564.jpg?c=1	New	In Stock	48.99		RALPH LAUREN															
rln2	Ralph Lauren Notorious Perfume for Women 2.5 oz Edp Spray	Ralph Lauren Notorious Perfume for Women 2.5 oz Eau de parfum Spray	Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne	https://hottperfume.com/ralph-lauren-notorious-perfume-for-women-2-5-oz-edp-spray/	https://cdn11.bigcommerce.com/s-ihg3qknk2i/images/stencil/1024x1024/products/1139/1819/Ralph_Lauren_Notorious__42088.1595025507.jpg?c=1	New	No	39.99		RALPH LAUREN															
